200	10	0
40	50	0
45	68	10
45	70	30
42	66	10
42	68	10
42	65	10
40	69	20
40	66	20
38	68	20
38	70	10
35	66	30
35	69	30
25	85	20
22	75	30
22	85	10
20	80	40
20	85	40
18	75	20
15	75	20
15	80	10
30	50	10
30	52	10
28	52	10
28	55	10
25	50	10
25	52	10
25	55	10
23	52	10
23	55	10
20	50	10
20	55	10
10	35	60
10	40	60
8	40	60
8	45	60
5	35	60
35	30	10
35	32	10
33	32	10
33	35	10
32	30	10
30	30	10
30	32	10
30	35	10
28	30	10
28	35	10
44	5	20
42	10	40
42	15	10
40	5	30
40	15	40
38	5	30
38	15	10
35	5	20
50	30	10
50	35	10
50	40	10
48	30	10
48	40	10
47	35	10
47	40	10
45	30	10
45	35	10
95	30	60
95	35	60
53	30	10
92	30	60
53	35	10
45	65	10
90	35	60
88	30	80
88	35	70
75	55	10
72	55	10
70	58	10
68	60	10
66	55	10
65	55	10
65	60	10
63	58	10
60	55	10
60	60	10
67	85	20
65	85	40
65	82	10
62	80	30
60	80	10
60	85	30
58	75	20
55	80	10
55	85	20
