160	48	0
35	35	0
41	49	52
35	17	59
55	45	62
55	20	103
15	30	52
25	30	63
20	50	63
10	43	83
55	60	52
30	60	88
20	65	63
50	35	57
30	25	52
15	10	106
30	5	61
10	20	64
5	30	52
20	40	111
15	60	57
45	65	86
45	20	53
45	10	104
55	5	50
65	35	102
65	20	55
45	30	84
35	40	53
41	37	110
64	42	57
40	60	58
31	52	64
35	69	111
53	52	60
65	55	65
63	65	75
2	60	108
20	20	64
5	5	89
60	12	88
40	25	101
42	7	69
24	12	104
23	3	100
11	14	93
6	38	75
2	48	111
8	56	108
13	52	85
6	68	83
47	47	110
49	58	111
27	43	77
37	31	91
57	29	102
63	23	107
53	12	71
32	12	99
36	26	91
21	24	94
17	34	65
12	24	106
24	58	79
27	69	72
15	77	61
62	77	111
49	73	67
67	5	50
56	39	58
37	47	111
37	56	56
57	68	77
47	16	55
44	17	105
46	13	48
49	11	99
49	42	54
53	43	91
61	52	55
57	48	111
56	37	53
55	54	71
15	47	60
14	37	109
11	31	52
16	22	50
4	18	63
28	18	94
26	52	52
26	35	77
31	67	64
15	19	70
22	22	52
18	24	98
26	27	62
25	24	52
22	27	52
25	21	110
19	21	59
20	26	77
18	18	53
