160	4	0
40	40	0
22	22	9
36	26	5
21	45	15
45	35	7
55	20	4
33	34	4
50	50	15
55	45	4
26	59	5
40	66	3
55	65	15
35	51	2
62	35	11
62	57	3
62	24	13
21	36	3
33	44	15
9	56	3
62	48	9
66	14	4
44	13	15
26	13	3
11	28	4
7	43	5
17	64	13
41	46	2
55	34	5
35	16	5
52	26	9
43	26	2
31	76	11
22	53	5
26	29	3
50	40	2
55	50	14
54	10	4
60	15	6
47	66	3
30	60	15
30	50	3
12	17	10
15	14	3
16	19	14
21	48	2
50	30	14
51	42	3
50	15	9
48	21	3
12	38	15
15	56	4
29	39	3
54	38	5
55	57	15
67	41	4
10	70	6
6	25	8
65	27	15
40	60	5
70	64	11
64	4	11
36	6	13
30	20	6
20	30	14
15	5	13
50	70	11
57	72	8
45	42	15
38	33	15
50	4	10
66	8	9
59	5	15
35	60	15
27	24	8
40	20	11
40	37	13
