160	5	0
35	35	0
41	49	3
35	17	4
55	45	5
55	20	14
15	30	2
25	30	5
20	50	5
10	43	9
55	60	2
30	60	10
20	65	5
50	35	4
30	25	2
15	10	14
30	5	4
10	20	5
5	30	3
20	40	15
15	60	4
45	65	10
45	20	3
45	10	14
55	5	2
65	35	13
65	20	3
45	30	10
35	40	3
41	37	15
64	42	4
40	60	4
31	52	5
35	69	15
53	52	4
65	55	5
63	65	8
2	60	15
20	20	5
5	5	10
60	12	10
40	25	13
42	7	6
24	12	14
23	3	13
11	14	11
6	38	8
2	48	15
8	56	15
13	52	10
6	68	9
47	47	15
49	58	15
27	43	8
37	31	11
57	29	14
63	23	15
53	12	7
32	12	13
36	26	11
21	24	12
17	34	5
12	24	14
24	58	8
27	69	7
15	77	4
62	77	15
49	73	6
67	5	2
56	39	4
37	47	15
37	56	3
57	68	8
47	16	3
44	17	14
46	13	2
49	11	13
49	42	3
53	43	11
61	52	3
57	48	15
56	37	3
55	54	7
15	47	4
14	37	15
11	31	2
16	22	2
4	18	5
28	18	12
26	52	2
26	35	8
31	67	5
15	19	6
22	22	2
18	24	13
26	27	5
25	24	2
22	27	2
25	21	15
19	21	4
20	26	8
18	18	3
