160	31	0
35	35	0
41	49	21
35	17	33
55	45	79
55	20	29
15	30	37
25	30	45
20	50	75
10	43	33
55	60	60
30	60	58
20	65	68
50	35	38
30	25	74
15	10	69
30	5	60
10	20	44
5	30	79
20	40	77
15	60	52
45	65	52
45	20	77
45	10	79
55	5	44
65	35	60
65	20	69
45	30	74
35	40	38
41	37	68
64	42	58
40	60	59
31	52	33
35	69	75
53	52	45
65	55	36
63	65	29
2	60	79
20	20	33
5	5	22
60	12	25
40	25	78
42	7	22
24	12	49
23	3	23
11	14	71
6	38	17
2	48	70
8	56	21
13	52	57
6	68	24
47	47	79
49	58	20
27	43	35
37	31	29
57	29	75
63	23	20
53	12	22
32	12	31
36	26	59
21	24	20
17	34	48
12	24	31
24	58	34
27	69	20
15	77	69
62	77	30
49	73	24
67	5	20
56	39	79
37	47	26
37	56	48
57	68	21
47	16	76
44	17	21
46	13	66
49	11	22
49	42	60
53	43	18
61	52	76
57	48	24
56	37	35
55	54	28
15	47	79
14	37	27
11	31	24
16	22	40
4	18	102
28	18	40
26	52	50
26	35	52
31	67	71
15	19	35
22	22	68
18	24	64
26	27	64
25	24	41
22	27	78
25	21	74
19	21	55
20	26	48
18	18	162
