160	15	0
40	40	0
22	22	44
36	26	22
21	45	22
45	35	18
55	20	47
33	34	20
50	50	34
55	45	18
26	59	44
40	66	17
55	65	42
35	51	19
62	35	35
62	57	18
62	24	46
21	36	20
33	44	22
9	56	23
62	48	47
66	14	22
44	13	23
26	13	29
11	28	46
7	43	24
17	64	35
41	46	35
55	34	43
35	16	26
52	26	43
43	26	41
31	76	39
22	53	29
26	29	47
50	40	46
55	50	35
54	10	33
60	15	47
47	66	47
30	60	31
30	50	37
12	17	43
15	14	46
16	19	27
21	48	41
50	30	38
51	42	40
50	15	25
48	21	44
12	38	32
15	56	29
29	39	23
54	38	47
55	57	26
67	41	16
10	70	21
6	25	47
65	27	20
40	60	29
70	64	20
64	4	45
36	6	16
30	20	40
20	30	19
15	5	38
50	70	19
57	72	47
45	42	18
38	33	28
50	4	22
66	8	46
59	5	18
35	60	16
27	24	23
40	20	40
40	37	18
